date,region,sst_mean
2000-01-01,north_atlantic,9.778457097398812
2000-01-01,indian_ocean,27.593584826000797
2000-02-01,north_atlantic,9.355857347569675
2000-02-01,indian_ocean,27.539419892823105
2000-03-01,north_atlantic,9.383148180919758
2000-03-01,indian_ocean,27.943319618070035
2000-04-01,north_atlantic,9.64538511159143
2000-04-01,indian_ocean,28.45612445686876
2000-05-01,north_atlantic,10.829664473629679
2000-05-01,indian_ocean,28.305478298856414
2000-06-01,north_atlantic,12.616776835711168
2000-06-01,indian_ocean,27.415942130363884
2000-07-01,north_atlantic,15.005834041791303
2000-07-01,indian_ocean,26.879716805182394
2000-08-01,north_atlantic,16.286630009391207
2000-08-01,indian_ocean,26.714864036772926
2000-09-01,north_atlantic,15.712788326468031
2000-09-01,indian_ocean,26.940041012606258
2000-10-01,north_atlantic,13.653433932866283
2000-10-01,indian_ocean,27.37211615608089
2000-11-01,north_atlantic,12.112837480442936
2000-11-01,indian_ocean,27.599123404238874
2000-12-01,north_atlantic,10.613609702734191
2000-12-01,indian_ocean,27.457143684744135
2001-01-01,north_atlantic,9.596547191826959
2001-01-01,indian_ocean,27.347415225531964
2001-02-01,north_atlantic,9.246221940833752
2001-02-01,indian_ocean,27.630837775302478
2001-03-01,north_atlantic,9.219675737204632
2001-03-01,indian_ocean,28.32244677828716
2001-04-01,north_atlantic,9.61062342777643
2001-04-01,indian_ocean,28.77595026941719
2001-05-01,north_atlantic,10.713582985783663
2001-05-01,indian_ocean,28.695826114952766
2001-06-01,north_atlantic,12.995038885761735
2001-06-01,indian_ocean,27.773701275890687
2001-07-01,north_atlantic,15.151552404800022
2001-07-01,indian_ocean,27.01713780320044
2001-08-01,north_atlantic,16.50742708946655
2001-08-01,indian_ocean,26.757881702582164
2001-09-01,north_atlantic,15.867365637356922
2001-09-01,indian_ocean,26.948766169268286
2001-10-01,north_atlantic,14.10420650977404
2001-10-01,indian_ocean,27.326350201635677
2001-11-01,north_atlantic,12.318231524460892
2001-11-01,indian_ocean,27.532697158761017
2001-12-01,north_atlantic,11.172845582123612
2001-12-01,indian_ocean,27.896778562920574
2002-01-01,north_atlantic,10.195360190301558
2002-01-01,indian_ocean,27.80167267393854
2002-02-01,north_atlantic,9.485370305634774
2002-02-01,indian_ocean,27.87140418162991
2002-03-01,north_atlantic,9.275693726867441
2002-03-01,indian_ocean,28.56913472287358
2002-04-01,north_atlantic,9.77912523812755
2002-04-01,indian_ocean,29.039209018766382
2002-05-01,north_atlantic,10.657663549498611
2002-05-01,indian_ocean,28.596245492482083
2002-06-01,north_atlantic,12.349825661363363
2002-06-01,indian_ocean,27.974603679013555
2002-07-01,north_atlantic,14.643901121194645
2002-07-01,indian_ocean,27.22820414580173
2002-08-01,north_atlantic,16.300700763427603
2002-08-01,indian_ocean,26.741894570379834
2002-09-01,north_atlantic,15.522842482012203
2002-09-01,indian_ocean,27.137778276560237
2002-10-01,north_atlantic,13.878046901104344
2002-10-01,indian_ocean,27.587653911476057
2002-11-01,north_atlantic,12.086741406692985
2002-11-01,indian_ocean,27.748929157855056
2002-12-01,north_atlantic,10.67911655901675
2002-12-01,indian_ocean,27.94800543188998
2003-01-01,north_atlantic,9.943313732459906
2003-01-01,indian_ocean,27.971253138505023
2003-02-01,north_atlantic,9.281440803692087
2003-02-01,indian_ocean,28.18883047287642
2003-03-01,north_atlantic,9.237566104277253
2003-03-01,indian_ocean,28.50861927585131
2003-04-01,north_atlantic,9.62892473216877
2003-04-01,indian_ocean,29.078289060746936
2003-05-01,north_atlantic,10.792072200481618
2003-05-01,indian_ocean,28.80346484769103
2003-06-01,north_atlantic,12.707372927718769
2003-06-01,indian_ocean,28.113017296945554
2003-07-01,north_atlantic,15.26960589184663
2003-07-01,indian_ocean,27.29622709033416
2003-08-01,north_atlantic,16.648927175589574
2003-08-01,indian_ocean,26.836754908721428
2003-09-01,north_atlantic,16.066351909334774
2003-09-01,indian_ocean,27.134801201766003
2003-10-01,north_atlantic,14.539747352271045
2003-10-01,indian_ocean,27.416372962814
2003-11-01,north_atlantic,12.412491059999812
2003-11-01,indian_ocean,27.59948349965443
2003-12-01,north_atlantic,11.094487660914542
2003-12-01,indian_ocean,27.489241260580236
2004-01-01,north_atlantic,10.142000622017761
2004-01-01,indian_ocean,27.80492355944935
2004-02-01,north_atlantic,9.541862615185167
2004-02-01,indian_ocean,28.00519832503115
2004-03-01,north_atlantic,9.463326613923053
2004-03-01,indian_ocean,28.406213147363296
2004-04-01,north_atlantic,9.758191385320197
2004-04-01,indian_ocean,28.997960023212922
2004-05-01,north_atlantic,10.733789460630248
2004-05-01,indian_ocean,28.44793320241893
2004-06-01,north_atlantic,12.761035410129375
2004-06-01,indian_ocean,27.55388373777078
2004-07-01,north_atlantic,14.964003260931916
2004-07-01,indian_ocean,26.797836716970043
2004-08-01,north_atlantic,16.25089341242853
2004-08-01,indian_ocean,26.627214044582086
2004-09-01,north_atlantic,15.478789736141733
2004-09-01,indian_ocean,26.800482525968608
2004-10-01,north_atlantic,13.926071913096534
2004-10-01,indian_ocean,27.198307245416945
2004-11-01,north_atlantic,12.217205123079765
2004-11-01,indian_ocean,27.472792236397932
2004-12-01,north_atlantic,11.07996516407227
2004-12-01,indian_ocean,27.650268402482077
2005-01-01,north_atlantic,10.221721750579576
2005-01-01,indian_ocean,27.69943081120807
2005-02-01,north_atlantic,9.685612498532086
2005-02-01,indian_ocean,28.14888580903124
2005-03-01,north_atlantic,9.572542699929944
2005-03-01,indian_ocean,28.8348989888485
2005-04-01,north_atlantic,10.014779642706474
2005-04-01,indian_ocean,29.086761633891516
2005-05-01,north_atlantic,11.078010801011708
2005-05-01,indian_ocean,29.092875414382412
2005-06-01,north_atlantic,12.999226093948728
2005-06-01,indian_ocean,28.104614227698413
2005-07-01,north_atlantic,15.46504518858123
2005-07-01,indian_ocean,27.06502283714649
2005-08-01,north_atlantic,16.645076450147002
2005-08-01,indian_ocean,26.895302355401604
2005-09-01,north_atlantic,16.138721374494434
2005-09-01,indian_ocean,26.979528574480156
2005-10-01,north_atlantic,14.139141656813516
2005-10-01,indian_ocean,27.33018921646558
2005-11-01,north_atlantic,12.333398142665857
2005-11-01,indian_ocean,27.533948121496593
2005-12-01,north_atlantic,11.138172340136245
2005-12-01,indian_ocean,27.463773398626266
2006-01-01,north_atlantic,10.268162653179216
2006-01-01,indian_ocean,27.451672164622252
