date,region,ndvi_mean
2014-11-01,amazon,0.758988813020497
2014-11-01,sahel,0.19889989086395335
2014-12-01,amazon,0.7814926246876993
2014-12-01,sahel,0.1749695745332271
2015-01-01,amazon,0.7307796673070515
2015-01-01,sahel,0.15746419717680615
2015-02-01,amazon,0.7558548586259337
2015-02-01,sahel,0.15292666780287575
2015-03-01,amazon,0.7540867188542034
2015-03-01,sahel,0.14551490935919598
2015-04-01,amazon,0.7660477157677917
2015-04-01,sahel,0.1438065366163294
2015-05-01,amazon,0.7773482983303052
2015-05-01,sahel,0.1507488179942314
2015-06-01,amazon,0.7775210873383003
2015-06-01,sahel,0.16133663341396276
2015-07-01,amazon,0.7614197391565231
2015-07-01,sahel,0.20581639159618248
2015-08-01,amazon,0.7419125590602623
2015-08-01,sahel,0.26150854916044014
2015-09-01,amazon,0.729515743694355
2015-09-01,sahel,0.2746145523061788
2015-10-01,amazon,0.7300048122482808
2015-10-01,sahel,0.2388963000657082
2015-11-01,amazon,0.7538826595613454
2015-11-01,sahel,0.2020469075472028
2015-12-01,amazon,0.7747335814511803
2015-12-01,sahel,0.17378529571727414
2016-01-01,amazon,0.7535356218937983
2016-01-01,sahel,0.162938291397839
2016-02-01,amazon,0.7737436843726433
2016-02-01,sahel,0.15201145586534684
2016-03-01,amazon,0.7446641979687776
2016-03-01,sahel,0.14642001693146783
2016-04-01,amazon,0.7719012802754597
2016-04-01,sahel,0.14687459887953902
2016-05-01,amazon,0.7743262503736991
2016-05-01,sahel,0.15391650488579406
2016-06-01,amazon,0.7683122819524375
2016-06-01,sahel,0.16911073562409418
2016-07-01,amazon,0.7467189764746152
2016-07-01,sahel,0.22534457775630026
2016-08-01,amazon,0.7233822335841597
2016-08-01,sahel,0.2712607842657285
2016-09-01,amazon,0.7224133406898007
2016-09-01,sahel,0.27800773944204576
2016-10-01,amazon,0.7430953430576935
2016-10-01,sahel,0.23687856540526553
2016-11-01,amazon,0.7548803948160029
2016-11-01,sahel,0.1937569477422971
2016-12-01,amazon,0.7784939697405266
2016-12-01,sahel,0.17384855714252725
2017-01-01,amazon,0.7410671707893505
2017-01-01,sahel,0.16426945612254484
2017-02-01,amazon,0.7729515401289925
2017-02-01,sahel,0.15492969057690195
2017-03-01,amazon,0.7677143263222859
2017-03-01,sahel,0.15069669440060526
2017-04-01,amazon,0.7763156617281927
2017-04-01,sahel,0.14826478477010624
2017-05-01,amazon,0.7895739678379421
2017-05-01,sahel,0.1588620778563025
2017-06-01,amazon,0.7821044211106357
2017-06-01,sahel,0.17708833005963448
2017-07-01,amazon,0.7617683372566966
2017-07-01,sahel,0.22303931096007937
2017-08-01,amazon,0.7352057435104309
2017-08-01,sahel,0.25847839194357575
2017-09-01,amazon,0.722420572534839
2017-09-01,sahel,0.2642173222742863
2017-10-01,amazon,0.7190972369641151
2017-10-01,sahel,0.223864954518336
2017-11-01,amazon,0.7461436089237452
2017-11-01,sahel,0.18517629556532061
2017-12-01,amazon,0.779765106194563
2017-12-01,sahel,0.16411398783611286
2018-01-01,amazon,0.7557433110471338
2018-01-01,sahel,0.15349800599449365
2018-02-01,amazon,0.7745832180118701
2018-02-01,sahel,0.15059395901058853
2018-03-01,amazon,0.7660474469528428
2018-03-01,sahel,0.14712513478249473
2018-04-01,amazon,0.7659835199280431
2018-04-01,sahel,0.14585632848801836
2018-05-01,amazon,0.769542331926111
2018-05-01,sahel,0.1482819334127894
2018-06-01,amazon,0.7577184007055703
2018-06-01,sahel,0.1680820351402587
2018-07-01,amazon,0.7475957304005135
2018-07-01,sahel,0.2223136809172988
2018-08-01,amazon,0.7345367562276394
2018-08-01,sahel,0.27231821226883085
2018-09-01,amazon,0.7324444788493204
2018-09-01,sahel,0.28280242330615674
2018-10-01,amazon,0.7430132953938965
2018-10-01,sahel,0.24065796961646313
2018-11-01,amazon,0.7443273065382094
2018-11-01,sahel,0.20282669761284333
2018-12-01,amazon,0.7731810146893239
2018-12-01,sahel,0.17860102779553405
2019-01-01,amazon,0.7423222777663558
2019-01-01,sahel,0.16488679762081712
2019-02-01,amazon,0.7587685744236999
2019-02-01,sahel,0.1562360084318701
2019-03-01,amazon,0.7625647938802257
2019-03-01,sahel,0.1509324322060572
2019-04-01,amazon,0.7828315666374809
2019-04-01,sahel,0.1499852407032046
2019-05-01,amazon,0.7844963988305946
2019-05-01,sahel,0.15373271987083156
2019-06-01,amazon,0.776855125569353
2019-06-01,sahel,0.17924077544903952
2019-07-01,amazon,0.7605351184669316
2019-07-01,sahel,0.21529280565334366
2019-08-01,amazon,0.73870234542005
2019-08-01,sahel,0.26725139730450476
2019-09-01,amazon,0.7231268825927029
2019-09-01,sahel,0.28139129281353314
2019-10-01,amazon,0.7319556874621196
2019-10-01,sahel,0.2505166955892241
2019-11-01,amazon,0.7585754734128874
2019-11-01,sahel,0.21281965474291897
2019-12-01,amazon,0.7814086991561203
2019-12-01,sahel,0.18497013877182147
2020-01-01,amazon,0.7724528687683658
2020-01-01,sahel,0.16445009553314457
2020-02-01,amazon,0.776242091096094
2020-02-01,sahel,0.15834832425037437
2020-03-01,amazon,0.7824612318837609
2020-03-01,sahel,0.15261596260552815
2020-04-01,amazon,0.7861583978100006
2020-04-01,sahel,0.15026249140800566
2020-05-01,amazon,0.7915021739356698
2020-05-01,sahel,0.1558754689548848
2020-06-01,amazon,0.7842134806623048
2020-06-01,sahel,0.1704258039157
2020-07-01,amazon,0.7632678251480551
2020-07-01,sahel,0.22543323183426017
2020-08-01,amazon,0.7412268403451153
2020-08-01,sahel,0.2916018654779311
2020-09-01,amazon,0.7258569603505013
2020-09-01,sahel,0.30260072739180843
2020-10-01,amazon,0.7366831285870223
2020-10-01,sahel,0.2656184857653508
2020-11-01,amazon,0.7565818678290822
2020-11-01,sahel,0.2119802716496389
2020-12-01,amazon,0.7847390414812612
2020-12-01,sahel,0.18815610019095544
2021-01-01,amazon,0.7553121381514838
2021-01-01,sahel,0.17235877135072553
2021-02-01,amazon,0.7636265664053696
2021-02-01,sahel,0.1620767670791492
2021-03-01,amazon,0.7651459578636486
2021-03-01,sahel,0.15595627565588452
2021-04-01,amazon,0.7753403438934442
2021-04-01,sahel,0.15532398211315718
2021-05-01,amazon,0.7774348106191538
2021-05-01,sahel,0.1637838982235094
2021-06-01,amazon,0.7732923954125641
2021-06-01,sahel,0.17538397007045914
2021-07-01,amazon,0.753159616202034
2021-07-01,sahel,0.22884161743513862
2021-08-01,amazon,0.7306542038047142
2021-08-01,sahel,0.27807675750410926
2021-09-01,amazon,0.7262657122150087
2021-09-01,sahel,0.28332049838579715
2021-10-01,amazon,0.7428224907260575
2021-10-01,sahel,0.24217954741342582
2021-11-01,amazon,0.7564769330341071
2021-11-01,sahel,0.20054364070794267
2021-12-01,amazon,0.7750798551847562
2021-12-01,sahel,0.17562867997489384
2022-01-01,amazon,0.7738584464606553
2022-01-01,sahel,0.16329611944742392
2022-02-01,amazon,0.7710722128781052
2022-02-01,sahel,0.15454407052600147
2022-03-01,amazon,0.7574069647346562
2022-03-01,sahel,0.14864627001893027
2022-04-01,amazon,0.775480024001871
2022-04-01,sahel,0.14997031386375356
2022-05-01,amazon,0.7724670387505217
2022-05-01,sahel,0.15264434558078377
2022-06-01,amazon,0.7599161248818099
2022-06-01,sahel,0.17489605183556886
2022-07-01,amazon,0.7456338393655906
2022-07-01,sahel,0.2372131632636768
2022-08-01,amazon,0.7274991128920754
2022-08-01,sahel,0.28998595082670536
2022-09-01,amazon,0.7193537148969084
2022-09-01,sahel,0.3040671268362519
2022-10-01,amazon,0.7247035494920964
2022-10-01,sahel,0.25890351689931496
2022-11-01,amazon,0.7528335464783659
2022-11-01,sahel,0.21562691171673734
2022-12-01,amazon,0.7813430965280062
2022-12-01,sahel,0.18856369234908638
2023-01-01,amazon,0.7535635540793961
2023-01-01,sahel,0.17530781255942496
2023-02-01,amazon,0.7662931282596591
2023-02-01,sahel,0.16382396933204083
2023-03-01,amazon,0.7657739847099112
2023-03-01,sahel,0.15921927983604672
2023-04-01,amazon,0.7764447717011688
2023-04-01,sahel,0.15751985812417776
2023-05-01,amazon,0.7796158851725066
2023-05-01,sahel,0.16175486764278563
2023-06-01,amazon,0.7731011453701241
2023-06-01,sahel,0.19602414350402989
2023-07-01,amazon,0.7491657920645962
2023-07-01,sahel,0.23159272626915095
2023-08-01,amazon,0.7302054722871241
2023-08-01,sahel,0.2717431303608554
2023-09-01,amazon,0.7285978891331897
2023-09-01,sahel,0.27870017412957965
2023-10-01,amazon,0.7354904130608635
2023-10-01,sahel,0.23971189891686656
2023-11-01,amazon,0.754407796991122
2023-11-01,sahel,0.20072014831707444
2023-12-01,amazon,0.7729451129207328
2023-12-01,sahel,0.17941654687745373
2024-01-01,amazon,0.7643119490997489
2024-01-01,sahel,0.16475355321511637
2024-02-01,amazon,0.7779149429299793
2024-02-01,sahel,0.15572446168579798
2024-03-01,amazon,0.7878630854593657
2024-03-01,sahel,0.1522481832804489
2024-04-01,amazon,0.7848017782610696
2024-04-01,sahel,0.15052763732906077
2024-05-01,amazon,0.7805595823631556
2024-05-01,sahel,0.1524399740522566
2024-06-01,amazon,0.7683695065470647
2024-06-01,sahel,0.1744596997578003
2024-07-01,amazon,0.7447265428800087
2024-07-01,sahel,0.23712363524252933
2024-08-01,amazon,0.7219651922683811
2024-08-01,sahel,0.3073532627589952
2024-09-01,amazon,0.7059156606259898
2024-09-01,sahel,0.32133375713310797
2024-10-01,amazon,0.7264288395522794
2024-10-01,sahel,0.2850960019155491
2024-11-01,amazon,0.760254378719587
2024-11-01,sahel,0.2303753842653279
2024-12-01,amazon,0.783187231160219
2024-12-01,sahel,0.19772252592159778
